               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090634,            0.038873,             0.04938,          0.00086213,             0.11437,          0.00063276,          0.00015082,            0.072561,            0.018823,            0.046697,            0.070095,           0.0033228,           0.0033228
                   1,            0.080209,            0.039655,             0.04815,              0.1751,            0.011494,           0.0037128,          0.00081605,            0.063895,            0.018752,            0.036764,            0.040029,           0.0065902,           0.0065902
                   2,            0.077246,            0.038811,            0.044446,             0.84393,            0.017316,            0.010573,            0.002921,            0.063049,            0.027922,            0.044362,           0.0098974,           0.0097916,           0.0097916
                   3,            0.074587,            0.038494,            0.040456,             0.84588,            0.024892,            0.010742,           0.0029477,            0.060024,            0.016609,            0.030725,            0.009703,            0.009703,            0.009703
                   4,            0.072622,            0.038652,            0.037333,             0.85343,            0.034731,            0.015135,           0.0040709,             0.05887,            0.019571,            0.031973,            0.009703,            0.009703,            0.009703
                   5,            0.070594,             0.03965,            0.033412,             0.54063,             0.14555,            0.034723,           0.0090921,              0.0563,            0.024305,            0.025941,            0.009604,            0.009604,            0.009604
                   6,            0.067121,            0.039996,             0.02787,             0.52962,             0.10436,            0.028237,           0.0072121,            0.052815,            0.019785,            0.016254,            0.009505,            0.009505,            0.009505
                   7,            0.065607,            0.039817,            0.025029,             0.54763,             0.10418,            0.029379,           0.0099837,            0.058412,            0.058815,            0.051426,            0.009406,            0.009406,            0.009406
                   8,            0.062886,            0.040857,            0.022668,              0.5701,             0.15272,            0.066166,            0.019102,            0.048404,            0.021954,            0.012325,            0.009307,            0.009307,            0.009307
                   9,            0.060938,            0.040328,            0.020467,             0.61718,             0.20352,             0.10539,            0.031798,            0.046377,            0.019846,            0.012894,            0.009208,            0.009208,            0.009208
                  10,            0.060411,            0.040291,            0.019811,             0.48479,             0.21308,              0.1564,            0.044662,             0.04581,            0.021775,           0.0097118,            0.009109,            0.009109,            0.009109
                  11,            0.057554,             0.03989,            0.017141,             0.51533,             0.30592,              0.1923,            0.061377,            0.040597,            0.020858,           0.0074483,             0.00901,             0.00901,             0.00901
                  12,            0.055846,            0.039272,            0.015763,             0.41177,             0.31279,             0.24026,            0.078271,            0.041397,            0.021261,           0.0066896,            0.008911,            0.008911,            0.008911
                  13,            0.055564,            0.040632,            0.014073,             0.63649,             0.24805,             0.23619,            0.081018,            0.040983,            0.019661,           0.0081234,            0.008812,            0.008812,            0.008812
                  14,            0.053939,            0.039388,            0.013203,             0.47295,             0.34009,             0.30112,             0.10252,            0.040213,            0.020996,           0.0052755,            0.008713,            0.008713,            0.008713
                  15,            0.053153,            0.040318,            0.011344,             0.41585,             0.35229,             0.27612,            0.093123,            0.041577,            0.020975,           0.0056609,            0.008614,            0.008614,            0.008614
                  16,            0.052765,            0.038902,             0.01152,             0.50808,             0.40874,             0.36575,             0.13635,             0.03829,            0.019475,           0.0051462,            0.008515,            0.008515,            0.008515
                  17,            0.050829,            0.037936,           0.0099896,             0.49072,              0.4418,             0.36244,             0.12817,            0.038297,            0.023428,           0.0047126,            0.008416,            0.008416,            0.008416
                  18,             0.05046,            0.038543,            0.010148,             0.65678,             0.35133,             0.37198,             0.13975,            0.035872,            0.020249,            0.003631,            0.008317,            0.008317,            0.008317
                  19,            0.049127,            0.038206,           0.0086463,              0.5503,             0.41874,             0.40128,             0.14963,            0.036809,            0.018111,           0.0049179,            0.008218,            0.008218,            0.008218
                  20,            0.047605,            0.037191,           0.0085098,             0.52622,             0.40066,             0.37077,             0.13557,            0.038111,             0.01768,           0.0048096,            0.008119,            0.008119,            0.008119
                  21,            0.048165,             0.03786,            0.007706,             0.38126,             0.45143,             0.39767,             0.14983,            0.038717,            0.018444,            0.005191,             0.00802,             0.00802,             0.00802
                  22,             0.04776,            0.037754,           0.0079738,             0.55397,             0.49716,             0.45443,             0.17585,            0.035917,            0.019746,           0.0033363,            0.007921,            0.007921,            0.007921
                  23,            0.047211,            0.036534,           0.0078734,             0.59111,             0.36523,             0.40205,             0.15856,            0.036873,            0.016964,           0.0042868,            0.007822,            0.007822,            0.007822
                  24,            0.045991,            0.036323,           0.0074165,             0.52938,             0.44633,             0.43527,             0.18122,            0.036608,            0.017209,           0.0045361,            0.007723,            0.007723,            0.007723
                  25,            0.046829,            0.036939,           0.0068684,             0.34227,             0.46451,             0.37864,             0.14202,            0.038348,            0.017759,           0.0058889,            0.007624,            0.007624,            0.007624
                  26,            0.046159,            0.036287,           0.0070834,             0.53096,             0.48206,             0.43695,             0.16756,            0.037773,            0.018833,           0.0037858,            0.007525,            0.007525,            0.007525
                  27,            0.046567,            0.037469,           0.0069497,              0.5987,              0.4829,             0.51145,             0.19635,            0.033582,            0.018338,           0.0030667,            0.007426,            0.007426,            0.007426
                  28,            0.046072,            0.036187,           0.0067611,             0.68468,             0.42037,             0.47223,             0.19443,            0.035482,            0.017475,           0.0032399,            0.007327,            0.007327,            0.007327
                  29,            0.043592,             0.03663,           0.0053926,             0.61865,             0.51734,             0.53281,             0.22188,            0.033029,            0.018446,           0.0026713,            0.007228,            0.007228,            0.007228
                  30,            0.043725,            0.035936,           0.0056305,             0.60216,             0.51568,             0.52048,             0.21793,            0.032325,            0.017266,           0.0026394,            0.007129,            0.007129,            0.007129
                  31,            0.043584,            0.035193,           0.0060639,              0.7041,             0.42943,             0.47583,             0.18814,            0.033621,            0.018336,           0.0037097,             0.00703,             0.00703,             0.00703
                  32,            0.043981,             0.03748,           0.0059028,             0.60595,             0.54806,             0.57018,             0.23973,            0.032196,            0.016668,             0.00305,            0.006931,            0.006931,            0.006931
                  33,            0.043776,            0.035629,           0.0059217,             0.67406,             0.47643,             0.55298,             0.23617,            0.032881,            0.017248,           0.0028112,            0.006832,            0.006832,            0.006832
                  34,            0.042979,            0.035874,           0.0050273,             0.73657,             0.42938,             0.53023,             0.22606,            0.031622,             0.01848,           0.0025034,            0.006733,            0.006733,            0.006733
                  35,            0.043254,            0.035483,            0.005277,             0.66338,             0.48116,             0.54063,             0.23156,            0.031198,            0.016187,           0.0027365,            0.006634,            0.006634,            0.006634
                  36,            0.042741,            0.036594,           0.0048786,             0.60934,             0.50776,             0.54415,             0.22298,            0.032799,            0.017065,           0.0031982,            0.006535,            0.006535,            0.006535
                  37,             0.04201,            0.035574,           0.0050143,             0.63439,             0.52041,             0.55268,             0.24043,             0.03212,            0.018083,           0.0026951,            0.006436,            0.006436,            0.006436
                  38,            0.041552,            0.035616,           0.0043285,              0.6438,             0.49874,             0.54091,             0.22675,            0.032248,            0.017248,           0.0023626,            0.006337,            0.006337,            0.006337
                  39,            0.042062,            0.034586,           0.0048444,             0.62586,              0.5298,             0.55054,             0.23832,            0.031842,            0.018441,           0.0026125,            0.006238,            0.006238,            0.006238
                  40,            0.041198,            0.035035,           0.0042123,              0.6398,             0.48627,              0.5306,             0.22766,            0.031525,            0.017156,           0.0025441,            0.006139,            0.006139,            0.006139
                  41,             0.04056,            0.034795,           0.0047164,             0.60599,             0.57574,             0.58447,             0.26063,            0.031483,            0.017163,           0.0024993,             0.00604,             0.00604,             0.00604
                  42,            0.040988,            0.034955,           0.0051429,             0.56596,             0.56987,             0.54513,             0.22555,            0.033709,            0.018457,           0.0032246,            0.005941,            0.005941,            0.005941
                  43,             0.04093,            0.035661,           0.0044123,             0.63844,             0.56033,              0.5906,             0.24263,            0.031094,             0.01831,           0.0028407,            0.005842,            0.005842,            0.005842
                  44,            0.040488,            0.035249,            0.004136,             0.59329,             0.54883,             0.57524,             0.24586,             0.03088,            0.016301,           0.0023683,            0.005743,            0.005743,            0.005743
                  45,             0.04069,            0.034648,           0.0038867,             0.62125,             0.55532,             0.57703,             0.25468,            0.030323,             0.01768,           0.0025529,            0.005644,            0.005644,            0.005644
                  46,            0.040107,            0.034894,           0.0038858,             0.66021,             0.57546,              0.6113,             0.26044,            0.030622,            0.019284,           0.0023733,            0.005545,            0.005545,            0.005545
                  47,            0.040056,            0.035177,           0.0034842,             0.66304,             0.57909,             0.59702,             0.25743,            0.031147,            0.015666,           0.0025391,            0.005446,            0.005446,            0.005446
                  48,            0.039817,            0.034531,           0.0039857,             0.66535,             0.55225,             0.59747,             0.26456,            0.030038,            0.016691,           0.0027077,            0.005347,            0.005347,            0.005347
                  49,            0.039723,            0.034124,           0.0037386,             0.49031,             0.63971,             0.60969,             0.27251,            0.030064,              0.0167,           0.0026762,            0.005248,            0.005248,            0.005248
                  50,            0.038787,            0.033203,           0.0034746,              0.6903,             0.57752,             0.61586,             0.28177,            0.030496,            0.016752,           0.0020702,            0.005149,            0.005149,            0.005149
                  51,            0.039741,            0.033965,           0.0039087,             0.68619,             0.54019,             0.58391,             0.25807,            0.030469,            0.016463,           0.0023144,             0.00505,             0.00505,             0.00505
                  52,            0.038261,            0.034739,           0.0035005,             0.51677,             0.62988,             0.61516,             0.27906,            0.030346,            0.016062,           0.0024308,            0.004951,            0.004951,            0.004951
                  53,            0.038744,            0.034159,            0.003445,             0.64861,             0.54519,              0.5945,             0.27508,            0.029759,            0.017091,           0.0024226,            0.004852,            0.004852,            0.004852
                  54,            0.039256,             0.03508,           0.0035591,             0.67497,               0.549,             0.59978,             0.28607,            0.029195,            0.016461,           0.0028351,            0.004753,            0.004753,            0.004753
                  55,            0.038317,            0.034536,           0.0036091,             0.64429,             0.55026,             0.59299,             0.26737,            0.029855,            0.015983,           0.0028408,            0.004654,            0.004654,            0.004654
                  56,            0.039462,            0.034225,           0.0035077,             0.66007,             0.56677,             0.60431,             0.27696,            0.030396,            0.017628,            0.002191,            0.004555,            0.004555,            0.004555
                  57,             0.03881,            0.033409,           0.0035943,             0.68783,             0.56328,             0.63171,             0.29225,            0.029187,            0.015526,           0.0024935,            0.004456,            0.004456,            0.004456
                  58,            0.039061,            0.034062,           0.0034943,             0.71341,             0.56436,             0.63284,             0.29367,            0.029317,            0.015374,           0.0020947,            0.004357,            0.004357,            0.004357
                  59,            0.038095,            0.033333,           0.0035064,             0.67977,             0.57154,             0.59597,             0.27054,            0.029032,            0.015923,           0.0030899,            0.004258,            0.004258,            0.004258
                  60,            0.037171,            0.032692,           0.0031711,             0.66356,             0.58885,             0.62788,              0.2841,            0.029153,             0.01603,           0.0021539,            0.004159,            0.004159,            0.004159
                  61,            0.037419,            0.033141,           0.0033609,             0.68515,             0.58909,             0.63434,             0.29323,            0.028573,            0.016378,           0.0023659,             0.00406,             0.00406,             0.00406
                  62,            0.037728,            0.033475,            0.003175,             0.62693,             0.61877,             0.65091,             0.28287,            0.029833,            0.015454,           0.0021382,            0.003961,            0.003961,            0.003961
                  63,            0.037201,            0.032551,           0.0028155,             0.71448,             0.57903,             0.64325,             0.31551,            0.028457,            0.016681,           0.0024101,            0.003862,            0.003862,            0.003862
                  64,            0.037879,            0.034533,            0.002936,              0.6641,             0.59099,             0.63522,             0.29482,            0.028423,            0.017013,           0.0021163,            0.003763,            0.003763,            0.003763
                  65,            0.036902,            0.033117,           0.0026561,             0.68839,             0.55391,              0.6279,             0.29719,            0.028958,            0.016149,           0.0022322,            0.003664,            0.003664,            0.003664
                  66,             0.03733,            0.033676,           0.0032242,             0.60269,             0.63209,             0.66815,             0.30442,            0.029603,            0.016022,           0.0024314,            0.003565,            0.003565,            0.003565
                  67,            0.037569,            0.033026,             0.00293,             0.53315,             0.65194,             0.65996,             0.30835,            0.028461,            0.016276,           0.0018729,            0.003466,            0.003466,            0.003466
                  68,            0.036733,            0.032742,           0.0024889,             0.71838,             0.56978,             0.64852,             0.31183,            0.028713,            0.015537,           0.0020943,            0.003367,            0.003367,            0.003367
                  69,            0.036546,            0.032612,           0.0028895,             0.72718,             0.57604,             0.65633,             0.31306,            0.028407,            0.016144,           0.0019603,            0.003268,            0.003268,            0.003268
                  70,            0.036157,            0.032388,           0.0027008,             0.71689,             0.57759,             0.65488,             0.30758,            0.028125,            0.015343,           0.0018339,            0.003169,            0.003169,            0.003169
                  71,            0.036265,            0.032283,            0.002476,             0.73142,             0.58344,             0.67425,             0.31852,            0.028721,            0.016078,           0.0021312,             0.00307,             0.00307,             0.00307
                  72,            0.035833,            0.031954,             0.00257,             0.76531,             0.58017,             0.67071,             0.32506,            0.028256,            0.015356,           0.0020099,            0.002971,            0.002971,            0.002971
                  73,            0.036479,            0.032814,           0.0029168,             0.71547,             0.60156,             0.67277,              0.3119,            0.028563,            0.015739,           0.0020852,            0.002872,            0.002872,            0.002872
                  74,            0.036677,            0.033646,           0.0028757,             0.73434,             0.57868,             0.66608,              0.3275,            0.028209,            0.016161,           0.0018692,            0.002773,            0.002773,            0.002773
                  75,            0.035945,            0.032745,           0.0028465,             0.72164,              0.5782,             0.65788,             0.31759,            0.028339,            0.016191,           0.0020119,            0.002674,            0.002674,            0.002674
                  76,            0.036626,            0.032636,           0.0023473,             0.65334,              0.6355,             0.67602,             0.32368,            0.027843,             0.01704,           0.0017604,            0.002575,            0.002575,            0.002575
                  77,             0.03554,            0.032749,            0.002438,             0.55911,             0.65698,             0.66294,             0.32082,            0.028208,            0.015874,           0.0017231,            0.002476,            0.002476,            0.002476
                  78,            0.035959,            0.032199,           0.0021909,             0.72987,             0.60222,             0.66782,             0.31495,            0.028229,             0.01554,           0.0018531,            0.002377,            0.002377,            0.002377
                  79,            0.035619,            0.032337,            0.002337,             0.57971,             0.65306,             0.67259,             0.33412,            0.027926,            0.015626,           0.0024874,            0.002278,            0.002278,            0.002278
                  80,            0.036323,              0.0328,           0.0022669,             0.75171,             0.54403,              0.6633,             0.32032,            0.027712,            0.016763,           0.0021403,            0.002179,            0.002179,            0.002179
                  81,            0.035058,            0.032129,           0.0026063,             0.61147,             0.61135,             0.64911,             0.32109,            0.027735,            0.016009,             0.00271,             0.00208,             0.00208,             0.00208
                  82,            0.035193,            0.032204,           0.0025891,             0.73221,             0.60012,             0.66884,             0.32256,            0.027721,            0.016034,           0.0021205,            0.001981,            0.001981,            0.001981
                  83,            0.034523,            0.032002,           0.0021835,             0.70882,             0.60345,              0.6767,             0.32219,            0.027903,            0.015865,           0.0018069,            0.001882,            0.001882,            0.001882
                  84,            0.034801,            0.032124,           0.0024158,             0.74928,             0.56559,             0.66052,             0.31985,            0.027762,            0.015621,           0.0020798,            0.001783,            0.001783,            0.001783
                  85,            0.034397,            0.031799,           0.0019979,             0.74512,             0.56684,             0.66748,             0.32476,            0.027738,             0.01523,           0.0021016,            0.001684,            0.001684,            0.001684
                  86,            0.035265,            0.032741,           0.0019913,             0.74696,             0.58075,             0.66827,             0.33931,            0.027685,            0.015133,           0.0020627,            0.001585,            0.001585,            0.001585
                  87,            0.034722,            0.032596,           0.0021914,             0.75124,             0.59378,             0.67735,             0.34186,            0.027313,            0.014934,           0.0023082,            0.001486,            0.001486,            0.001486
                  88,            0.033747,            0.032515,           0.0022819,             0.77686,             0.57887,             0.68601,             0.33668,            0.028069,            0.015006,           0.0022466,            0.001387,            0.001387,            0.001387
                  89,            0.034079,            0.031886,           0.0018968,             0.77128,             0.58384,             0.69161,             0.34254,             0.02757,            0.015739,           0.0020862,            0.001288,            0.001288,            0.001288
                  90,            0.034095,            0.032314,           0.0017605,             0.63597,             0.62941,             0.68332,             0.33039,            0.027759,            0.015333,           0.0021053,            0.001189,            0.001189,            0.001189
                  91,            0.033536,            0.032001,           0.0020655,             0.79683,             0.56751,              0.6877,              0.3396,             0.02773,             0.01533,           0.0019712,             0.00109,             0.00109,             0.00109
                  92,              0.0341,            0.032028,           0.0018686,             0.73704,             0.61443,             0.70053,             0.34848,            0.027357,            0.015484,           0.0020425,            0.000991,            0.000991,            0.000991
                  93,            0.033966,            0.031613,           0.0018426,             0.76627,               0.586,             0.70041,             0.35356,            0.027085,            0.015585,           0.0019355,            0.000892,            0.000892,            0.000892
                  94,            0.033827,            0.031999,           0.0020885,             0.77044,             0.59161,             0.69442,             0.34122,            0.027205,            0.015456,           0.0018504,            0.000793,            0.000793,            0.000793
                  95,            0.034595,            0.031787,           0.0022804,             0.74086,             0.62028,             0.70603,             0.34823,            0.027093,            0.015301,            0.001828,            0.000694,            0.000694,            0.000694
                  96,            0.033509,            0.031794,           0.0017131,             0.70649,             0.60484,             0.70246,             0.34676,            0.027288,            0.015578,           0.0018007,            0.000595,            0.000595,            0.000595
                  97,            0.033218,            0.032267,           0.0014476,             0.68661,             0.61563,             0.69588,             0.34211,             0.02716,            0.015641,           0.0018746,            0.000496,            0.000496,            0.000496
                  98,            0.033368,            0.031047,           0.0019372,             0.69783,             0.65061,             0.70354,             0.34354,            0.027006,              0.0157,           0.0018565,            0.000397,            0.000397,            0.000397
                  99,            0.033563,            0.031982,            0.001762,             0.68276,             0.64009,             0.70501,             0.34879,            0.026961,            0.015443,           0.0018593,            0.000298,            0.000298,            0.000298
